"","Pos","LW","Weeks","Song","Artist","hit_week"
"9832","12","15","10","Jack o’ Diamond","Walkers",1974-11-08
"9833","13","New","1","Na Na Na","Cozy Powell",1974-11-08
"9834","14","14","15","Let Me Roll It","Wings",1974-11-08
"9835","15","12","12","A Rose Has to Die","Dennis East",1974-11-08
"9836","16","New","1","Hasta Mañana","ABBA",1974-11-08
"9837","17","18","3","Mama Tembu’s Wedding","Margaret Singana",1974-11-08
"9838","18","20","2","Born with a Smile on My Face","Stephanie de Sykes",1974-11-08
"9839","19","19","9","Don’t Break This Heart","Gerry Grayson",1974-11-08
"9840","20","11","7","Annie’s Song","John Denver",1974-11-08
"9841","1","1","11","If You Love Me (Let Me Know)","Olivia Newton-John",1974-11-15
"9842","2","2","12","Why Me","Kris Kristofferson",1974-11-15
"9843","3","7","8","Rock Me Gently","Andy Kim",1974-11-15
"9844","4","3","13","Rock Your Baby","George McCrae",1974-11-15
"9845","5","6","6","Kung Fu Fighting","Carl Douglas",1974-11-15
"9846","6","4","5","Kissin’ in the Back Row of the Movies","Drifters",1974-11-15
"9847","7","16","2","Hasta Mañana","ABBA",1974-11-15
"9848","8","8","5","Rub it In","Billy “Crash” Craddock",1974-11-15
"9849","9","5","14","The Night Chicago Died","Paper Lace",1974-11-15
"9850","10","11","7","When Will I See You Again","Three Degrees",1974-11-15
"9851","11","13","2","Na Na Na","Cozy Powell",1974-11-15
"9852","12","9","10","Rock the Boat","Hues Corporation",1974-11-15
"9853","13","17","4","Mama Tembu’s Wedding","Margaret Singana",1974-11-15
"9854","14","10","14","Touch too Much","Arrows",1974-11-15
"9855","15","12","11","Jack o’ Diamond","Walkers",1974-11-15
"9856","16","New","1","I Shot the Sheriff","Eric Clapton",1974-11-15
"9857","17","New","1","Rockin’ in the U.S.A.","Big John’s Rock ‘n’ Roll Circus",1974-11-15
"9858","18","18","3","Born with a Smile on My Face","Stephanie de Sykes",1974-11-15
"9859","19","New","1","The Way I Am","Lovelace Watkins",1974-11-15
"9860","20","15","13","A Rose Has to Die","Dennis East",1974-11-15
"9861","1","5","7","Kung Fu Fighting","Carl Douglas",1974-11-22
"9862","2","1","12","If You Love Me (Let Me Know)","Olivia Newton-John",1974-11-22
"9863","3","6","6","Kissin’ in the Back Row of the Movies","Drifters",1974-11-22
"9864","4","3","9","Rock Me Gently","Andy Kim",1974-11-22
"9865","5","2","13","Why Me","Kris Kristofferson",1974-11-22
"9866","6","7","3","Hasta Mañana","ABBA",1974-11-22
"9867","7","4","14","Rock Your Baby","George McCrae",1974-11-22
"9868","8","10","8","When Will I See You Again","Three Degrees",1974-11-22
"9869","9","8","6","Rub it In","Billy “Crash” Craddock",1974-11-22
"9870","10","13","5","Mama Tembu’s Wedding","Margaret Singana",1974-11-22
"9871","11","9","15","The Night Chicago Died","Paper Lace",1974-11-22
"9872","12","11","3","Na Na Na","Cozy Powell",1974-11-22
"9873","13","19","2","The Way I Am","Lovelace Watkins",1974-11-22
"9874","14","12","11","Rock the Boat","Hues Corporation",1974-11-22
"9875","15","18","4","Born with a Smile on My Face","Stephanie de Sykes",1974-11-22
"9876","16","16","2","I Shot the Sheriff","Eric Clapton",1974-11-22
"9877","17","14","15","Touch too Much","Arrows",1974-11-22
"9878","18","17","2","Rockin’ in the U.S.A.","Big John’s Rock ‘n’ Roll Circus",1974-11-22
"9879","19","New","1","Can’t Get Enough of Your Love, Babe","Barry White",1974-11-22
"9880","20","New","1","Bubblegum","Dan Hill",1974-11-22
"9881","1","1","8","Kung Fu Fighting","Carl Douglas",1974-11-29
"9882","2","7","15","Rock Your Baby","George McCrae",1974-11-29
"9883","3","3","7","Kissin’ in the Back Row of the Movies","Drifters",1974-11-29
"9884","4","6","4","Hasta Mañana","ABBA",1974-11-29
"9885","5","2","13","If You Love Me (Let Me Know)","Olivia Newton-John",1974-11-29
"9886","6","8","9","When Will I See You Again","Three Degrees",1974-11-29
"9887","7","4","10","Rock Me Gently","Andy Kim",1974-11-29
"9888","8","5","14","Why Me","Kris Kristofferson",1974-11-29
"9889","9","10","6","Mama Tembu’s Wedding","Margaret Singana",1974-11-29
"9890","10","13","3","The Way I Am","Lovelace Watkins",1974-11-29
"9891","11","18","3","Rockin’ in the U.S.A.","Big John’s Rock ‘n’ Roll Circus",1974-11-29
"9892","12","9","7","Rub it In","Billy “Crash” Craddock",1974-11-29
"9893","13","11","16","The Night Chicago Died","Paper Lace",1974-11-29
"9894","14","14","12","Rock the Boat","Hues Corporation",1974-11-29
"9895","15","16","3","I Shot the Sheriff","Eric Clapton",1974-11-29
"9896","16","19","2","Can’t Get Enough of Your Love, Babe","Barry White",1974-11-29
"9897","17","12","4","Na Na Na","Cozy Powell",1974-11-29
"9898","18","15","5","Born with a Smile on My Face","Stephanie de Sykes",1974-11-29
"9899","19","New","1","I Honestly Love You","Olivia Newton-John",1974-11-29
"9900","20","New","1","Help Me My Love","After All",1974-11-29
"9901","1","1","9","Kung Fu Fighting","Carl Douglas",1974-12-06
"9902","2","6","10","When Will I See You Again","Three Degrees",1974-12-06
"9903","3","4","5","Hasta Mañana","ABBA",1974-12-06
"9904","4","2","16","Rock Your Baby","George McCrae",1974-12-06
"9905","5","5","14","If You Love Me (Let Me Know)","Olivia Newton-John",1974-12-06
"9906","6","3","8","Kissin’ in the Back Row of the Movies","Drifters",1974-12-06
"9907","7","10","4","The Way I Am","Lovelace Watkins",1974-12-06
"9908","8","7","11","Rock Me Gently","Andy Kim",1974-12-06
"9909","9","9","7","Mama Tembu’s Wedding","Margaret Singana",1974-12-06
"9910","10","8","15","Why Me","Kris Kristofferson",1974-12-06
"9911","11","11","4","Rockin’ in the U.S.A.","Big John’s Rock ‘n’ Roll Circus",1974-12-06
"9912","12","16","3","Can’t Get Enough of Your Love, Babe","Barry White",1974-12-06
"9913","13","15","4","I Shot the Sheriff","Eric Clapton",1974-12-06
"9914","14","19","2","I Honestly Love You","Olivia Newton-John",1974-12-06
"9915","15","13","17","The Night Chicago Died","Paper Lace",1974-12-06
"9916","16","12","8","Rub it In","Billy “Crash” Craddock",1974-12-06
"9917","17","14","13","Rock the Boat","Hues Corporation",1974-12-06
"9918","18","New","1","She’s a Woman","Neil Herbert",1974-12-06
"9919","19","New","1","To the Door of the Sun","Gigliola Cinquetti",1974-12-06
"9920","20","New","1","Longfellow Serenade","Neil Diamond",1974-12-06
"9921","1","1","10","Kung Fu Fighting","Carl Douglas",1974-12-13
"9922","2","2","11","When Will I See You Again","Three Degrees",1974-12-13
"9923","3","3","6","Hasta Mañana","ABBA",1974-12-13
"9924","4","7","5","The Way I Am","Lovelace Watkins",1974-12-13
"9925","5","4","17","Rock Your Baby","George McCrae",1974-12-13
"9926","6","9","8","Mama Tembu’s Wedding","Margaret Singana",1974-12-13
"9927","7","5","15","If You Love Me (Let Me Know)","Olivia Newton-John",1974-12-13
"9928","8","6","9","Kissin’ in the Back Row of the Movies","Drifters",1974-12-13
"9929","9","13","5","I Shot the Sheriff","Eric Clapton",1974-12-13
"9930","10","14","3","I Honestly Love You","Olivia Newton-John",1974-12-13
"9931","11","8","12","Rock Me Gently","Andy Kim",1974-12-13
"9932","12","11","5","Rockin’ in the U.S.A.","Big John’s Rock ‘n’ Roll Circus",1974-12-13
"9933","13","18","2","She’s a Woman","Neil Herbert",1974-12-13
"9934","14","20","2","Longfellow Serenade","Neil Diamond",1974-12-13
"9935","15","12","4","Can’t Get Enough of Your Love, Babe","Barry White",1974-12-13
"9936","16","10","16","Why Me","Kris Kristofferson",1974-12-13
"9937","17","19","2","To the Door of the Sun","Gigliola Cinquetti",1974-12-13
"9938","18","New","1","Clap for the Wolfman","Guess Who",1974-12-13
"9939","19","15","18","The Night Chicago Died","Paper Lace",1974-12-13
"9940","20","RE","2","Help Me My Love","After All",1974-12-13
"9941","1","1","11","Kung Fu Fighting","Carl Douglas",1974-12-20
"9942","2","3","7","Hasta Mañana","ABBA",1974-12-20
"9943","3","2","12","When Will I See You Again","Three Degrees",1974-12-20
"9944","4","14","3","Longfellow Serenade","Neil Diamond",1974-12-20
"9945","5","10","4","I Honestly Love You","Olivia Newton-John",1974-12-20
"9946","6","4","6","The Way I Am","Lovelace Watkins",1974-12-20
"9947","7","13","3","She’s a Woman","Neil Herbert",1974-12-20
"9948","8","7","16","If You Love Me (Let Me Know)","Olivia Newton-John",1974-12-20
"9949","9","17","3","To the Door of the Sun","Gigliola Cinquetti",1974-12-20
"9950","10","5","18","Rock Your Baby","George McCrae",1974-12-20
"9951","11","11","13","Rock Me Gently","Andy Kim",1974-12-20
"9952","12","6","9","Mama Tembu’s Wedding","Margaret Singana",1974-12-20
"9953","13","8","10","Kissin’ in the Back Row of the Movies","Drifters",1974-12-20
"9954","14","12","6","Rockin’ in the U.S.A.","Big John’s Rock ‘n’ Roll Circus",1974-12-20
"9955","15","9","6","I Shot the Sheriff","Eric Clapton",1974-12-20
"9956","16","15","5","Can’t Get Enough of Your Love, Babe","Barry White",1974-12-20
"9957","17","18","2","Clap for the Wolfman","Guess Who",1974-12-20
"9958","18","20","3","Help Me My Love","After All",1974-12-20
"9959","19","New","1","You Ain’t Seen Nothing Yet","Bachman-Turner Overdrive",1974-12-20
"9960","20","New","1","Whatever Gets You Thru the Night","John Lennon",1974-12-20
"9961","1","1","12","Kung Fu Fighting","Carl Douglas",1974-12-27
"9962","2","2","8","Hasta Mañana","ABBA",1974-12-27
"9963","3","4","4","Longfellow Serenade","Neil Diamond",1974-12-27
"9964","4","3","13","When Will I See You Again","Three Degrees",1974-12-27
"9965","5","5","5","I Honestly Love You","Olivia Newton-John",1974-12-27
"9966","6","9","4","To the Door of the Sun","Gigliola Cinquetti",1974-12-27
"9967","7","6","7","The Way I Am","Lovelace Watkins",1974-12-27
"9968","8","7","4","She’s a Woman","Neil Herbert",1974-12-27
"9969","9","12","10","Mama Tembu’s Wedding","Margaret Singana",1974-12-27
"9970","10","8","17","If You Love Me (Let Me Know)","Olivia Newton-John",1974-12-27
"9971","11","10","19","Rock Your Baby","George McCrae",1974-12-27
"9972","12","15","7","I Shot the Sheriff","Eric Clapton",1974-12-27
"9973","13","13","11","Kissin’ in the Back Row of the Movies","Drifters",1974-12-27
"9974","14","11","14","Rock Me Gently","Andy Kim",1974-12-27
"9975","15","16","6","Can’t Get Enough of Your Love, Babe","Barry White",1974-12-27
"9976","16","17","3","Clap for the Wolfman","Guess Who",1974-12-27
"9977","17","19","2","You Ain’t Seen Nothing Yet","Bachman-Turner Overdrive",1974-12-27
"9978","18","New","1","Another Saturday Night","Cat Stevens",1974-12-27
"9979","19","18","4","Help Me My Love","After All",1974-12-27
"9980","20","20","2","Whatever Gets You Thru the Night","John Lennon",1974-12-27
"9981","1","1","13","Kung Fu Fighting","Carl Douglas",1975-01-03
"9982","2","3","5","Longfellow Serenade","Neil Diamond",1975-01-03
"9983","3","2","9","Hasta Mañana","ABBA",1975-01-03
"9984","4","4","14","When Will I See You Again","Three Degrees",1975-01-03
"9985","5","5","6","I Honestly Love You","Olivia Newton-John",1975-01-03
"9986","6","8","5","She’s a Woman","Neil Herbert",1975-01-03
"9987","7","7","8","The Way I Am","Lovelace Watkins",1975-01-03
"9988","8","9","11","Mama Tembu’s Wedding","Margaret Singana",1975-01-03
"9989","9","6","5","To the Door of the Sun","Gigliola Cinquetti",1975-01-03
"9990","10","17","3","You Ain’t Seen Nothing Yet","Bachman-Turner Overdrive",1975-01-03
"9991","11","12","8","I Shot the Sheriff","Eric Clapton",1975-01-03
"9992","12","10","18","If You Love Me (Let Me Know)","Olivia Newton-John",1975-01-03
"9993","13","13","12","Kissin’ in the Back Row of the Movies","Drifters",1975-01-03
"9994","14","16","4","Clap for the Wolfman","Guess Who",1975-01-03
"9995","15","18","2","Another Saturday Night","Cat Stevens",1975-01-03
"9996","16","11","20","Rock Your Baby","George McCrae",1975-01-03
"9997","17","15","7","Can’t Get Enough of Your Love, Babe","Barry White",1975-01-03
"9998","18","19","5","Help Me My Love","After All",1975-01-03
"9999","19","20","3","Whatever Gets You Thru the Night","John Lennon",1975-01-03
"10000","20","14","15","Rock Me Gently","Andy Kim",1975-01-03
"10001","1","2","6","Longfellow Serenade","Neil Diamond",1975-01-10
"10002","2","1","14","Kung Fu Fighting","Carl Douglas",1975-01-10
"10003","3","4","15","When Will I See You Again","Three Degrees",1975-01-10
"10004","4","3","10","Hasta Mañana","ABBA",1975-01-10
"10005","5","6","6","She’s a Woman","Neil Herbert",1975-01-10
"10006","6","8","12","Mama Tembu’s Wedding","Margaret Singana",1975-01-10
"10007","7","10","4","You Ain’t Seen Nothing Yet","Bachman-Turner Overdrive",1975-01-10
"10008","8","7","9","The Way I Am","Lovelace Watkins",1975-01-10
"10009","9","9","6","To the Door of the Sun","Gigliola Cinquetti",1975-01-10
"10010","10","5","7","I Honestly Love You","Olivia Newton-John",1975-01-10
"10011","11","16","21","Rock Your Baby","George McCrae",1975-01-10
"10012","12","18","6","Help Me My Love","After All",1975-01-10
"10013","13","17","8","Can’t Get Enough of Your Love, Babe","Barry White",1975-01-10
"10014","14","12","19","If You Love Me (Let Me Know)","Olivia Newton-John",1975-01-10
"10015","15","11","9","I Shot the Sheriff","Eric Clapton",1975-01-10
"10016","16","14","5","Clap for the Wolfman","Guess Who",1975-01-10
"10017","17","13","13","Kissin’ in the Back Row of the Movies","Drifters",1975-01-10
"10018","18","15","3","Another Saturday Night","Cat Stevens",1975-01-10
"10019","19","19","4","Whatever Gets You Thru the Night","John Lennon",1975-01-10
"10020","20","New","1","Junior’s Farm","Paul McCartney",1975-01-10
"10021","1","1","7","Longfellow Serenade","Neil Diamond",1975-01-17
"10022","2","7","5","You Ain’t Seen Nothing Yet","Bachman-Turner Overdrive",1975-01-17
"10023","3","5","7","She’s a Woman","Neil Herbert",1975-01-17
"10024","4","2","15","Kung Fu Fighting","Carl Douglas",1975-01-17
"10025","5","3","16","When Will I See You Again","Three Degrees",1975-01-17
"10026","6","4","11","Hasta Mañana","ABBA",1975-01-17
"10027","7","9","7","To the Door of the Sun","Gigliola Cinquetti",1975-01-17
"10028","8","8","10","The Way I Am","Lovelace Watkins",1975-01-17
"10029","9","12","7","Help Me My Love","After All",1975-01-17
"10030","10","10","8","I Honestly Love You","Olivia Newton-John",1975-01-17
"10031","11","6","13","Mama Tembu’s Wedding","Margaret Singana",1975-01-17
"10032","12","13","9","Can’t Get Enough of Your Love, Babe","Barry White",1975-01-17
"10033","13","11","22","Rock Your Baby","George McCrae",1975-01-17
"10034","14","15","10","I Shot the Sheriff","Eric Clapton",1975-01-17
"10035","15","20","2","Junior’s Farm","Paul McCartney",1975-01-17
"10036","16","19","5","Whatever Gets You Thru the Night","John Lennon",1975-01-17
"10037","17","18","4","Another Saturday Night","Cat Stevens",1975-01-17
"10038","18","14","20","If You Love Me (Let Me Know)","Olivia Newton-John",1975-01-17
"10039","19","New","1","I Can’t Leave You Alone","George McCrae",1975-01-17
"10040","20","New","1","You Ask Me To","Bobby Angel",1975-01-17
"10041","1","1","8","Longfellow Serenade","Neil Diamond",1975-01-24
"10042","2","3","8","She’s a Woman","Neil Herbert",1975-01-24
"10043","3","2","6","You Ain’t Seen Nothing Yet","Bachman-Turner Overdrive",1975-01-24
"10044","4","4","16","Kung Fu Fighting","Carl Douglas",1975-01-24
"10045","5","5","17","When Will I See You Again","Three Degrees",1975-01-24
"10046","6","6","12","Hasta Mañana","ABBA",1975-01-24
"10047","7","9","8","Help Me My Love","After All",1975-01-24
"10048","8","8","11","The Way I Am","Lovelace Watkins",1975-01-24
"10049","9","7","8","To the Door of the Sun","Gigliola Cinquetti",1975-01-24
"10050","10","15","3","Junior’s Farm","Paul McCartney",1975-01-24
"10051","11","10","9","I Honestly Love You","Olivia Newton-John",1975-01-24
"10052","12","11","14","Mama Tembu’s Wedding","Margaret Singana",1975-01-24
"10053","13","17","5","Another Saturday Night","Cat Stevens",1975-01-24
"10054","14","12","10","Can’t Get Enough of Your Love, Babe","Barry White",1975-01-24
"10055","15","16","6","Whatever Gets You Thru the Night","John Lennon",1975-01-24
"10056","16","19","2","I Can’t Leave You Alone","George McCrae",1975-01-24
"10057","17","20","2","You Ask Me To","Bobby Angel",1975-01-24
"10058","18","New","1","Beach Baby","First Class",1975-01-24
"10059","19","New","1","Back Home Again","John Denver",1975-01-24
"10060","20","13","23","Rock Your Baby","George McCrae",1975-01-24
"10061","1","2","9","She’s a Woman","Neil Herbert",1975-01-31
"10062","2","3","7","You Ain’t Seen Nothing Yet","Bachman-Turner Overdrive",1975-01-31
"10063","3","1","9","Longfellow Serenade","Neil Diamond",1975-01-31
"10064","4","4","17","Kung Fu Fighting","Carl Douglas",1975-01-31
"10065","5","5","18","When Will I See You Again","Three Degrees",1975-01-31
"10066","6","7","9","Help Me My Love","After All",1975-01-31
"10067","7","9","9","To the Door of the Sun","Gigliola Cinquetti",1975-01-31
"10068","8","6","13","Hasta Mañana","ABBA",1975-01-31
"10069","9","10","4","Junior’s Farm","Paul McCartney",1975-01-31
"10070","10","8","12","The Way I Am","Lovelace Watkins",1975-01-31
"10071","11","17","3","You Ask Me To","Bobby Angel",1975-01-31
"10072","12","18","2","Beach Baby","First Class",1975-01-31
"10073","13","12","15","Mama Tembu’s Wedding","Margaret Singana",1975-01-31
"10074","14","16","3","I Can’t Leave You Alone","George McCrae",1975-01-31
"10075","15","14","11","Can’t Get Enough of Your Love, Babe","Barry White",1975-01-31
"10076","16","15","7","Whatever Gets You Thru the Night","John Lennon",1975-01-31
"10077","17","11","10","I Honestly Love You","Olivia Newton-John",1975-01-31
"10078","18","19","2","Back Home Again","John Denver",1975-01-31
"10079","19","13","6","Another Saturday Night","Cat Stevens",1975-01-31
"10080","20","New","1","You’re the First, the Last, My Everything","Barry White",1975-01-31
"10081","1","2","8","You Ain’t Seen Nothing Yet","Bachman-Turner Overdrive",1975-02-07
"10082","2","1","10","She’s a Woman","Neil Herbert",1975-02-07
"10083","3","3","10","Longfellow Serenade","Neil Diamond",1975-02-07
"10084","4","6","10","Help Me My Love","After All",1975-02-07
"10085","5","4","18","Kung Fu Fighting","Carl Douglas",1975-02-07
"10086","6","11","4","You Ask Me To","Bobby Angel",1975-02-07
